temperature_in;temperature;humidity;gas;cenario
32;23;58;117;1
32;23;58;97;1
32;23;58;127;1
32;23;58;107;1
32;23;58;87;1
33;23;58;97;1
33;23;58;117;1
33;23;58;107;1
33;23;58;127;1
33;23;58;87;1
33;23;58;78;1
33;23;58;68;1
33;23;57;117;1
33;23;57;97;1
33;23;57;87;1
34;23;57;97;1
34;23;57;78;1
34;23;57;87;1
34;23;57;107;1
34;23;57;117;1
34;23;57;127;1
34;23;56;107;1
34;23;56;97;1
34;23;56;78;1
34;23;56;117;1
34;23;56;87;1
34;23;55;97;1
34;23;55;87;1
34;23;55;107;1
34;23;55;68;1
34;23;55;117;1
34;23;54;107;1
34;23;54;97;1
34;23;54;87;1
34;23;54;78;1
34;23;54;117;1
34;23;54;136;1
34;23;54;68;1
34;23;55;127;1
33;23;54;97;1
33;23;54;87;1
33;23;54;107;1
33;23;54;68;1
33;23;54;117;1
33;23;54;78;1
33;23;54;127;1
33;23;53;97;1
33;23;53;107;1
33;23;53;87;1
33;23;53;117;1
33;23;53;68;1
33;23;53;78;1
33;22;53;107;1
33;22;53;117;1
33;22;53;78;1
33;22;53;97;1
33;22;53;68;1
33;22;52;107;1
33;22;52;97;1
33;22;52;87;1
33;22;52;78;1
33;22;52;117;1
33;22;52;68;1
32;22;53;87;1
32;22;53;97;1
32;22;53;78;1
32;22;53;107;1
32;22;52;117;1
32;22;52;68;1
32;22;52;107;1
32;22;52;87;1
32;22;52;97;1
32;22;53;127;1
32;22;52;78;1
32;22;52;127;1
31;22;52;107;1
31;22;52;97;1
31;22;52;78;1
31;22;52;87;1
31;22;52;117;1
31;22;52;68;1
31;22;52;127;1
30;22;52;87;1
30;22;52;107;1
30;22;52;136;1
30;22;52;97;1
30;22;52;117;1
30;22;52;78;1
30;22;52;68;1
30;22;52;127;1
30;21;52;107;1
30;21;52;87;1
30;21;52;97;1
30;21;52;117;1
30;21;52;68;1
29;21;52;107;1
29;21;52;97;1
29;21;52;87;1
29;21;52;78;1
29;21;52;117;1
29;21;52;68;1
29;21;51;107;1
29;21;51;97;1
29;21;51;78;1
29;21;51;87;1
25;21;51;175;0
25;21;51;127;0
25;22;69;156;1
25;22;69;127;1
25;22;69;136;1
25;22;69;146;1
25;22;70;156;1
25;22;70;146;1
25;22;71;146;1
25;22;71;127;1
25;22;71;156;1
24;22;71;146;1
25;22;71;136;1
25;22;72;156;1
25;22;72;117;1
24;22;72;166;1
24;22;72;127;1
24;22;72;146;1
24;22;72;322;1
24;22;72;224;1
24;22;72;244;1
24;22;72;234;1
24;22;73;234;1
24;22;73;224;1
25;22;73;244;1
25;22;73;215;1
24;22;73;205;1
25;22;73;205;1
24;22;73;244;1
25;22;73;224;1
24;22;73;254;1
25;22;74;244;1
25;22;74;224;1
